bt,km,transmission,ownerNo,owner,oem,model,modelYear,centralVariantId,variantName,price,registration_year,insurance_validity,fuel_type,seats,rto,ownership,engine_displacement,year_of_manufacture,Features,mileage,engine,max_power,torque,dimensions,miscellaneous,wheel_size
SUV,"65,457",Automatic,2,2nd Owner,Mahindra,Mahindra XUV500,2017,3818,AT W10 1.99 mHawk,₹ 12.26 Lakh,May 2017,Third Party insurance,Diesel,7,KA51,Second Owner,1997 cc,2017.0,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Radio",16 kmpl,"Orange, mHawk Diesel Engine, 1997, 140bhp@3750rpm, 320Nm@1600-2800rpm, 4, 4, DOHC, Direct Injection, Yes, No",140bhp,320Nm,"4585mm, 1890mm, 1785mm, 2700mm, 1960, 2510kg","6 Speed, FWD, 7, Power, 5.6 metres, Disc, Disc, 185 Kmph, 10 Seconds, Tubeless,Radial, 17, 5, 720-litres",17
Hatchback,"23,682",Manual,1,1st Owner,Honda,Honda Jazz,2017,1339,1.2 V i VTEC,₹ 7.25 Lakh,Aug 2017,Comprehensive,Petrol,5,KA53,First Owner,1199 cc,2017.0,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",18.7 kmpl,"Red, i-VTEC Petrol Engine, 1199, 88.7bhp@6000rpm, 110Nm@4800rpm, 4, 4, SOHC, PGM - Fi, No, No",88.7bhp,110Nm,"3955mm, 1694mm, 1544mm, 2530mm, 1044kg","5 Speed, FWD, 5, Power, 5.1 meters, Disc, Drum, 172 Kmph, 13.7 Seconds, Tubeless,Radial, 15, 5, 354-litres",15
Sedan,"50,000",Manual,1,1st Owner,Hyundai,Hyundai Verna,2020,5961,CRDi 1.6 SX,₹ 11.50 Lakh,2020,Third Party insurance,Diesel,5,KA03,First Owner,1582 cc,2020.0,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",22 kmpl,"Red, U2 VGT Diesel Engine, 1582, 126.2bhp@4000rpm, 259.87nm@1500-3000rpm, 4, 4, DOHC, CRDi, Yes, No",126.2bhp,259.87nm,"4440mm, 1729mm, 1475mm, 2600mm, 1255","6 Speed, FWD, 5, Power, Disc, Drum, Tubeless, 16, 4, 480",16
Hatchback,"1,34,557",Manual,2,2nd Owner,Maruti,Maruti Swift,2015,4165,ZDI BSIV,₹ 6.29 Lakh,Apr 2015,Comprehensive,Diesel,5,KA53,Second Owner,1248 cc,2015.0,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Cd Player",25.2 kmpl,"White, DDiS Diesel Engine, 1248, 74bhp@4000rpm, 190Nm@2000rpm, 4, 4, DOHC, CRDI, 69.6 X 82 mm, 17.6:1, Yes, No",74bhp,190Nm,"3840mm, 1735mm, 1530mm, 2450mm, 1475mm, 1485mm, 985Kg, 1405kg","5 Speed, FWD, 5, Power, 4.8 metres, Ventilated Disc, Drum, 155 kmph, 14.8 Seconds, Tubeless Tyres, 15, 5, 204-liters",15
Sedan,"96,567",Manual,2,2nd Owner,Maruti,Maruti Swift Dzire,2013,10244,VXI,₹ 4.47 Lakh,Jun 2013,Comprehensive,Petrol,5,KA53,Second Owner,1197 cc,2013.0,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Brake Assist, Cd Player",22.41 kmpl,"Blue, 1197, 88.50bhp@6000rpm, 113Nm@4400rpm, 4, 4",88.50bhp,113Nm,"3995mm, 1735, 1515, 160, 2450, 880-915, 1335","5 Speed, 5, Electric, 4.8, Disc, Drum, Tubeless, Radial, 4, 378",
Hatchback,"1,20,000",Manual,3,3rd Owner,Maruti,Maruti Celerio,2015,3979,VXI,₹ 4 Lakh,2015,Third Party insurance,Petrol,5,KA51,Third Owner,998 cc,2015.0,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Manually Adjustable Exterior Rear View Mirror, Centeral Locking, Child Safety Locks",23.1 kmpl,"White, K10B Engine, 998, 67.04bhp@6000rpm, 90Nm@3500rpm, 3, 4, DOHC, MPFi, 73 X 82 mm, 11.0:1, No, No",67.04bhp,90Nm,"3715mm, 1635mm, 1565mm, 2425mm, 1420mm, 1410mm, 835kg, 1250kg","5 Speed , FWD, 5, Power, 4.7 metres, Ventilated Disc, Drum, 150 Kmph, 15.05 Seconds, Tubeless, Radial, 5, 235-litres",
MUV,"83,007",Manual,2,2nd Owner,Maruti,Maruti Ertiga,2014,4051,ZDI,₹ 7.86 Lakh,Feb 2015,Comprehensive,Diesel,7,KA51,Second Owner,1248 cc,2014.0,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Cd Player",20.77 kmpl,"White, DDiS Diesel Engine, 1248, 88.8bhp@4000rpm, 200Nm@1750rpm, 4, 4, DOHC, CRDI, 69.6 X 82 mm, 17.6:1, Yes, No",88.8bhp,200Nm,"4265mm, 1695mm, 1685mm, 2740mm, 1480mm, 1490mm, 1235kg, 1845kg","5 Speed , FWD, 7, Power, 5.2 metres, Disc, Drum, 160 kmph, 13.3 Seconds, Tubeless, Radial, 15, 5, 135-liters",15
Hatchback,"34,000",Manual,1,1st Owner,Honda,Honda Jazz,2018,1341,1.2 VX i VTEC,₹ 7.45 Lakh,Jul 2018,Comprehensive,Petrol,5,KA02,First Owner,1199 cc,2018.0,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",18.7 kmpl,"Maroon, i-VTEC Petrol Engine, 1199, 88.7bhp@6000rpm, 110Nm@4800rpm, 4, 4, SOHC, PGM - Fi, No, No",88.7bhp,110Nm,"3955mm, 1694mm, 1544mm, 2530mm, 1042kg","5 Speed, FWD, 5, Power, 5.1 meters, Disc, Drum, 172 Kmph, 13.7 Seconds, Tubeless,Radial, 15, 5, 354-litres",15
Hatchback,"81,634",Automatic,1,1st Owner,Hyundai,Hyundai Grand i10,2014,1544,AT Asta,₹ 4.90 Lakh,Mar 2014,Comprehensive,Petrol,5,KA25,First Owner,1197 cc,2014.0,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Centeral Locking, Power Door Locks, Cd Player",18.9 kmpl,"White, Kappa VTVT Petrol Engine, 1197, 82bhp@6000rpm, 114Nm@4000rpm, 4, 4, DOHC, MPFI, No, No",82bhp,114Nm,"3765mm, 1660mm, 1520mm, 2425mm, 1479mm, 1493mm, 935kg","4 Speed, FWD, 5, Power, 4.8 metres, Disc, Drum, 163 Kmph, 14.9 Seconds, Tubeless, 14, 5, 256-liters",14
Sedan,"57,284",Automatic,2,2nd Owner,Honda,Honda City,2017,5630,i-VTEC CVT ZX,₹ 9.42 Lakh,Apr 2017,Comprehensive,Petrol,5,KA53,Second Owner,1497 cc,2017.0,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio",18 kmpl,"Brown, i VTEC Engine, 1497, 117.6bhp@6600rpm, 145Nm@4600rpm, 4, 4, SOHC, PGM-Fi, 73.0 X 89.4 mm, 10.3:1, No, No",117.6bhp,145Nm,"4440mm, 1695mm, 1495mm, 2600mm, 1475mm, 1465mm, 1107kg, 1482kg","CVT, FWD, 5, Power, 5.3 metres, Ventilated Disc, Drum, 178.55 kmph, 11.90 Seconds, Tubeless,Radial, 16, 4, 510",16
SUV,"70,000",Automatic,2,2nd Owner,Ford,Ford Ecosport,2016,889,1.5 Ti VCT AT Titanium BSIV,₹ 6.75 Lakh,2016,Third Party insurance,Petrol,5,KA53,Second Owner,1499 cc,2016.0,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Cd Player",15.63 kmpl,"Silver, Ti-VCT Petrol Engine, 1499, 110.4bhp@6300rpm, 140Nm@4400rpm, 4, 4, DOHC, Direct Injection, 79 X 76.5 mm, 11.0:1, No, No",110.4bhp,140Nm,"3999mm, 1765mm, 1708mm, 2520mm, 1519mm, 1524mm, 1250","6 Speed, FWD, 5, Power, 5.3 meters, Ventilated Disc, Drum, 182 Kmph, 16 Seconds, Tubeless,Radial, 16, 5, 346-litres",16
Hatchback,"70,000",Manual,2,2nd Owner,Honda,Honda Brio,2013,1188,S MT,₹ 3.30 Lakh,2013,Third Party insurance,Petrol,5,KA04,Second Owner,1198 cc,2013.0,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Centeral Locking, Power Door Locks, Radio",19.4 kmpl,"Red, i-VTEC Engine, 1198, 86.8bhp@6000rpm, 109Nm@4500rpm, 4, 4, SOHC, PGM - Fi, No, No",86.8bhp,109Nm,"3610mm, 1680mm, 1500mm, 2345mm, 1480mm, 1465mm, 925kg","5 Speed, FWD, 5, Power, 4.5 metres, Disc, Drum, 164 Kmph, 14.5 Seconds, Tubeless,Radial, 5, 175-litres",
Sedan,"46,429",Automatic,2,2nd Owner,Toyota,Toyota Yaris,2018,6401,G CVT BSIV,₹ 8.75 Lakh,Jun 2018,Third Party insurance,Petrol,5,KA05,Second Owner,1496 cc,2018.0,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Radio",17.8 kmpl,"White, 1.5 Dual VVT-i Engine, 1496, 105.5bhp@6000rpm, 140Nm@4200rpm, 4, 4, DOHC, EFI, No, No",105.5bhp,140Nm,"4425mm, 1730mm, 1495mm, 2550mm, 1115Kg, 1580kg","7 Speed CVT, FWD, 5, Power, 5.1m, Disc, Drum, Tubless, Radial, 4, 476",
Hatchback,"17,624",Manual,1,1st Owner,Maruti,Maruti Baleno,2017,3970,1.2 Alpha,₹ 8.69 Lakh,Mar 2018,Comprehensive,Petrol,5,KA05,First Owner,1197 cc,2017.0,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio",21.4 kmpl,"White, VVT Petrol Engine, 1197, 83.1bhp@6000rpm, 115Nm@4000rpm, 4, 4, DOHC, MPFI, No, No",83.1bhp,115Nm,"3995mm, 1745mm, 1510mm, 2520mm, 1505mm, 1515mm, 890Kg, 1340kg","5 Speed, FWD, 5, Power, 4.9 meters, Disc, Drum, 180 Kmph, 12.36 seconds, Tubeless,Radial, 16, 5, 339-litres",16
Sedan,"1,00,000",Manual,2,2nd Owner,Volkswagen,Volkswagen Vento,2012,2011,Diesel Highline,₹ 4.25 Lakh,2012,Third Party insurance,Diesel,5,KA53,Second Owner,1598 cc,2012.0,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",20.54 kmpl,"Blue, Common Rail Diesel Engine, 1598, 103.6bhp@4400rpm, 250Nm@1500-2500rpm, 4, 4, DOHC, CRDI, Yes, No",103.6bhp,250Nm,"4384mm, 1699mm, 1466mm, 2552mm, 1220kg, 1760kg","5 Speed, FWD, 5, Power, 5.4 metres, Disc, Drum, 186km/hr, Tubeless,Radial, 15, 4, 480-litres",15
Sedan,"30,000",Manual,1,1st Owner,Honda,Honda City,2019,5626,i-VTEC V,₹ 10.70 Lakh,2019,Third Party insurance,Petrol,5,,First Owner,1497 cc,2019.0,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio",17.4 kmpl,"Others, i VTEC Engine, 1497, 117.6bhp@6600rpm, 145Nm@4600rpm, 4, 4, SOHC, PGM-Fi, 73.0 X 89.4 mm, 10.3:1, No, No",117.6bhp,145Nm,"4440mm, 1695mm, 1495mm, 2600mm, 1490mm, 1480mm, 1061kg, 1436kg","5 Speed, FWD, 5, Power, 5.3 metres, Ventilated Disc, Drum, 189 kmph, 9.64 Seconds, Tubeless,Radial, 15, 4, 510",15
SUV,"49,690",Manual,2,2nd Owner,Ford,Ford Ecosport,2018,7350,1.5 Petrol Titanium,₹ 10.25 Lakh,Jun 2018,Third Party insurance,Petrol,5,KA20,Second Owner,1496 cc,2018.0,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio",15.9 kmpl,"Blue, Ti-VCT Petrol Engine, 1496, 120.69bhp@6500rpm, 149Nm@4500rpm, 3, 4, DOHC, Direct Injection, 79 X 76.5 mm, 11.0:1, No, No",120.69bhp,149Nm,"3998mm, 1765mm, 1647mm, 2519mm, 1225Kg, 1660Kg","5 Speed, FWD, 5, Electric, 5.3 metres, Ventilated Disc, Drum, Tubeless,Radial, R16, 4, 352-litres",R16
SUV,"1,10,000",Manual,1,1st Owner,Mahindra,Mahindra XUV500,2016,3801,W6 2WD,₹ 10 Lakh,2016,Third Party insurance,Diesel,7,KA12,First Owner,2179 cc,2016.0,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Brake Assist, Radio",16 kmpl,"White, mHawk Diesel Engine, 2179, 140bhp@3750rpm, 330Nm@1600-2800rpm, 4, 4, DOHC, Direct Injection, Yes, No",140bhp,330Nm,"4585mm, 1890mm, 1785mm, 2700mm, 1840, 2510kg","6 Speed , FWD, 7, Power, 5.6 metres, Disc, Disc, 185 Kmph, 10 Seconds, Tubeless Tyres, 5, 720-litres",
Sedan,"50,000",Manual,1,1st Owner,Fiat,Fiat Linea,2009,768,Emotion Pack,₹ 3.75 Lakh,2009,Third Party insurance,Petrol,5,KA03,First Owner,1368 cc,2009.0,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Cd Player",16 kmpl,"Gray, Front Wheel Drive, 1368, 90 PS @ 6000 rpm, 115 Nm @ 4500 rpm, 4, 4, DOHC, Yes, No",90 PS ,115 Nm ,"4,560 mm, 1,730 mm, 1,487 mm, 1,240 kg","Five Speed Manual, Front Wheel Drive, 5, Power, 5.5 m, Ventilated Disc, Drum, 165 Km, Tubeless,Radial, 15, 4",15
Sedan,"50,000",Manual,1,1st Owner,Fiat,Fiat Linea,2009,768,Emotion Pack,₹ 3.75 Lakh,2009,Third Party insurance,Petrol,5,KA03,First Owner,1368 cc,2009.0,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Cd Player",16 kmpl,"Gray, Front Wheel Drive, 1368, 90 PS @ 6000 rpm, 115 Nm @ 4500 rpm, 4, 4, DOHC, Yes, No",90 PS ,115 Nm ,"4,560 mm, 1,730 mm, 1,487 mm, 1,240 kg","Five Speed Manual, Front Wheel Drive, 5, Power, 5.5 m, Ventilated Disc, Drum, 165 Km, Tubeless,Radial, 15, 4",15
SUV,"55,702",Automatic,1,1st Owner,Ford,Ford Ecosport,2018,6088,1.5 Petrol Titanium Plus AT BSIV,₹ 8.44 Lakh,Mar 2018,Comprehensive,Petrol,5,KA03,First Owner,1497 cc,2018.0,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Cd Player",14.8 kmpl,"Silver, Ti-VCT Petrol Engine, 1497, 121.36bhp@6500rpm, 150Nm@4500rpm, 3, 4, DOHC, Direct Injection, 79 X 76.5 mm, 11.0:1, No, No",121.36bhp,150Nm,"3998mm, 1765mm, 1647mm, 2519mm, 1320Kg, 1705Kg","6 Speed, FWD, 5, Power, 5.3 meters, Ventilated Disc, Drum, 171.43 kmph, 12.51 Seconds, Tubeless,Radial, 16, 4, 352-litres",16
Hatchback,"45,046",Manual,1,1st Owner,Hyundai,Hyundai i20 Active,2016,1664,1.4 SX,₹ 7.64 Lakh,May 2016,Third Party insurance,Diesel,5,KA04,First Owner,1396 cc,2016.0,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",21.19 kmpl,"Brown, U2 CRDI Diesel Engine, 1396, 88.73bhp@4000rpm, 220Nm@1500-2750rpm, 4, 4, DOHC, CRDI, Yes, No",88.73bhp,220Nm,"3995mm, 1760mm, 1555mm, 2570mm, 1080","6 Speed, FWD, 5, Power, 5.2 metres, Disc, Drum, 165 Kmph, 15 Seconds, Tubeless,Radial, 16, 5, 285-litres",16
Hatchback,"53,000",Manual,2,2nd Owner,Maruti,Maruti Ritz,2014,4141,VXi,₹ 4.20 Lakh,2014,Third Party insurance,Petrol,5,KA03,Second Owner,1197 cc,2014.0,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Centeral Locking, Power Door Locks",18.5 kmpl,"Silver, K Series Petrol Engine, 1197, 85.80bhp@6000rpm, 114Nm@4000rpm, 4, 4, DOHC, MPFI, No, No",85.80bhp,114Nm,"3775mm, 1680mm, 1620mm, 2360mm, 1470mm, 1480mm, 1015kg, 1430kg","5 Speed, FWD, 5, Power, 4.7 metres, Ventilated Disc, Drum, 156 Kmph, 15 Seconds, Tubeless,Radial, 5, 236-liters",
Hatchback,"94,695",Manual,1,1st Owner,Maruti,Maruti Baleno,2016,3968,1.3 Alpha,₹ 6.84 Lakh,Dec 2016,Third Party insurance,Diesel,5,KA05,First Owner,1248 cc,2016.0,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio",27.39 kmpl,"Red, DDiS Diesel Engine, 1248, 74bhp@4000rpm, 190Nm@2000rpm, 4, 4, DOHC, CRDi, Yes, No",74bhp,190Nm,"3995mm, 1745mm, 1510mm, 2520mm, 1505mm, 1515mm, 985kg, 1430kg","5 Speed, FWD, 5, Power, 4.9 metres, Disc, Drum, 170 Kmph, 12.93 seconds, Tubeless,Radial, 16, 5, 339-litres",16
Hatchback,"22,162",Manual,1,1st Owner,Maruti,Maruti Baleno,2019,3970,1.2 Alpha,₹ 8.03 Lakh,Oct 2019,Zero Dep,Petrol,5,KA05,First Owner,1197 cc,2019.0,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio",21.4 kmpl,"Silver, VVT Petrol Engine, 1197, 83.1bhp@6000rpm, 115Nm@4000rpm, 4, 4, DOHC, MPFI, No, No",83.1bhp,115Nm,"3995mm, 1745mm, 1510mm, 2520mm, 1505mm, 1515mm, 890Kg, 1340kg","5 Speed, FWD, 5, Power, 4.9 meters, Disc, Drum, 180 Kmph, 12.36 seconds, Tubeless,Radial, 16, 5, 339-litres",16
Hatchback,"70,000",Manual,2,2nd Owner,Hyundai,Hyundai Santro Xing,2010,1711,GLS,₹ 3.20 Lakh,2010,Third Party insurance,Petrol,5,KA03,Second Owner,1086 cc,2010.0,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Manually Adjustable Exterior Rear View Mirror, Centeral Locking, Power Door Locks, Cd Player",17.92 kmpl,"Others, Petrol Engine , 1086, 62.1bhp@5500rpm, 96.1Nm@3000rpm, 3, 4, SOHC, MPFI, No, No",62.1bhp,96.1Nm,"3565mm, 1525mm, 1590mm, 2380mm, 1315mm, 1300mm, 825","5 Speed, FWD, 5, Power, 4.4 meters, Ventilated Disc, Drum, Tubeless,Radial, 13, 5",13
Sedan,"1,15,331",Manual,1,1st Owner,Honda,Honda City,2017,1209,i DTec V,₹ 8.04 Lakh,Jul 2018,Comprehensive,Diesel,5,KA01,First Owner,1498 cc,2017.0,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",26 kmpl,"Silver, i DTEC Diesel Engine , 1498, 98.6bhp@3600rpm, 200Nm@1750rpm, 4, 4, DOHC, Direct Injection, 76.0 X 82.5 mm, 16.0:1, Yes, No",98.6bhp,200Nm,"4440mm, 1695mm, 1495mm, 2600mm, 1480mm, 1465mm, 1150kg","6 Speed, FWD, 5, Power, 5.3 metres, Disc, Drum, 175 Kmph, 10 Seconds, Tubeless,Radial, 15, 4, 510-litres",15
Sedan,"70,000",Automatic,2,2nd Owner,Mercedes-Benz,Mercedes-Benz E-Class,2013,4610,E 220 CDI Avantgarde,₹ 14 Lakh,2013,Third Party insurance,Diesel,5,,Second Owner,2148 cc,2013.0,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Cd Player",10 kmpl,"Others, In-Line Engine, 2148, 170bhp@3000-4200rpm, 400Nm@1400-2800rpm, 4, 4, DOHC, CRDI, 16.2+/-2:1, Yes, No",170bhp,400Nm,"4852mm, 1822mm, 1483mm, 2854mm, 1577mm, 1570mm, 1640kg, 2140kg","5 Speed, RWD, 5, Power, 5.6 metres, Ventilated Disc, Solid Disc, 227km/hr, 8.4 Seconds, Tubeless,Radial, 17, 4, 540-litre",17
Hatchback,"42,233",Manual,2,2nd Owner,Maruti,Maruti Swift,2016,10403,VXI,₹ 5.48 Lakh,Apr 2016,Comprehensive,Petrol,5,KA05,Second Owner,1197 cc,2016.0,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Brake Assist, Radio",22.38 kmpl,"White, K Series Dual jet, 1197, 88.50bhp@6000rpm, 113Nm@4400rpm, 4, 4",88.50bhp,113Nm,"3845mm, 1735, 1530, 2450, 1530, 1530, 875-905, 1335","5-Speed, 5, Electric, 4.8, Disc, Drum, Radial, Tubeless, 5, 268",
Hatchback,"20,941",Manual,1,1st Owner,Hyundai,Hyundai Grand i10,2019,5604,1.2 Kappa Sportz BSIV,₹ 6.19 Lakh,Jun 2019,Comprehensive,Petrol,5,KA05,First Owner,1197 cc,2019.0,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",18.9 kmpl,"Others, Kappa VTVT Petrol Engine, 1197, 81.86bhp@6000rpm, 113.75nm@4000rpm, 4, 4, DOHC, MPFI, No, No",81.86bhp,113.75nm,"3765mm, 1660mm, 1520mm, 2425mm, 1479mm, 1493mm, 1120","5 Speed, FWD, 5, Power, 4.8 metres, Disc, Drum, 165 Kmph, 12.9 Seconds, Tubeless, 5, 256",
SUV,"50,000",Manual,2,2nd Owner,Maruti,Maruti Vitara Brezza,2018,4303,ZDi Plus Dual Tone,₹ 10 Lakh,2018,Third Party insurance,Diesel,5,KA04,Second Owner,1248 cc,2018.0,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio",24.3 kmpl,"Red, DDiS 200 Diesel Engine, 1248, 88.5bhp@4000rpm, 200Nm@1750rpm, 4, 4, DOHC, CRDi, 69.6 X 82, Yes, No",88.5bhp,200Nm,"3995mm, 1790mm, 1640mm, 2500mm, 1210kg, 1680kg","5 Speed, FWD, 5, Power, 5.2 meters, Ventilated Disc, Drum, 172 kmph, 12.36 Seconds, Tubeless,Radial, 16, 5, 328-litres",16
SUV,"46,602",Manual,1,1st Owner,Honda,Honda WR-V,2018,5668,i-VTEC VX,₹ 8.65 Lakh,Jan 2018,Comprehensive,Petrol,5,KA03,First Owner,1199 cc,2018.0,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio",17.5 kmpl,"Brown, i-VTEC Petrol Engine, 1199, 88.7bhp@6000rpm, 110Nm@4800rpm, 4, 4, SOHC, MPFi, No, No",88.7bhp,110Nm,"3999mm, 1734mm, 1601mm, 2555mm, 1103kg","5 Speed, FWD, 5, Electric, 5.3 metres, Ventilated Disc, Drum, 164.26 kmph, 15.31 Seconds, Tubeless,Radial, 16, 5, 363 Litres",16
SUV,"50,000",Automatic,2,2nd Owner,Mahindra Ssangyong,Mahindra Ssangyong Rexton,2014,5164,RX7,₹ 10 Lakh,2014,Third Party insurance,Diesel,7,KL07,Second Owner,2696 cc,2014.0,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",11.18 kmpl,"White, RX270 XVT Diesel Engine , 2696, 184bhp@4000rpm, 402Nm@1600-3000rpm, 5, 4, DOHC, CRDi, Yes, No",184bhp,402Nm,"4755mm, 1900mm, 1840mm, 2835mm, 2060kg","5 Speed, AWD, 7, Power, 5.7 metres, Ventilated Disc, Disc, 194 Kmph, 13.5 Seconds, Tubeless,Radial , 16, 5, 475-litres",16
Hatchback,"1,04,000",Manual,2,2nd Owner,Maruti,Maruti Swift,2014,4164,VDI BSIV,₹ 5.35 Lakh,Jul 2014,Comprehensive,Diesel,5,KA51,Second Owner,1248 cc,2014.0,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Cd Player",25.2 kmpl,"Red, DDiS Diesel Engine, 1248, 74bhp@4000rpm, 190Nm@2000rpm, 4, 4, DOHC, CRDI, 69.6 X 82 mm, 17.6:1, Yes, No",74bhp,190Nm,"3840mm, 1735mm, 1530mm, 2450mm, 960Kg, 1405kg","5 Speed, FWD, 5, Power, 4.8 metres, Ventilated Disc, Drum, 155 Kmph, 14.8 Seconds, Tubeless Tyres, 5, 204-liters",
SUV,"90,000",Manual,1,1st Owner,Ford,Ford Ecosport,2018,6094,1.5 Diesel Titanium Plus BSIV,₹ 9.75 Lakh,Jul 2018,Comprehensive,Diesel,5,KA51,First Owner,1498 cc,2018.0,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Cd Player",23 kmpl,"Brown, TDCi Diesel Engine, 1498, 98.96bhp@3750rpm, 205Nm@1750-3250rpm, 4, 4, SOHC, Direct Injection, 73.5 X 88.3 mm, 16.0:1, Yes, No",98.96bhp,205Nm,"3998mm, 1765mm, 1647mm, 2519mm, 1304Kg, 1690Kg","5 Speed, FWD, 5, Power, 5.3 metres, Ventilated Disc, Drum, Tubeless,Radial, 16, 4, 352-litres",16
Hatchback,"50,035",Manual,1,1st Owner,Maruti,Maruti Baleno,2017,3969,1.2 Zeta,₹ 6.99 Lakh,Jan 2017,Third Party insurance,Petrol,5,KA03,First Owner,1197 cc,2017.0,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",21.4 kmpl,"Blue, VVT Petrol Engine, 1197, 83.1bhp@6000rpm, 115Nm@4000rpm, 4, 4, DOHC, MPFI, No, No",83.1bhp,115Nm,"3995mm, 1745mm, 1510mm, 2520mm, 1505mm, 1515mm, 880kg, 1340kg","5 Speed, FWD, 5, Power, 4.9 meters, Disc, Drum, 180 Kmph, 12.36 seconds, Tubeless,Radial, 16, 5, 339-litres",16
